ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CPER568	568	CPER	Ecosystem Flux	Eddy co-variance	Photosynthetically Active Radiation	µmol/s/m²	30 minute		2017	2017	2017-01-01	2018	now	2019-12-31	3	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			3	Central Plains Experimental Range, Nunn, Colorado	Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
CPER569	569	CPER	Ecosystem Flux	Eddy co-variance	Air temperature	°C	30 minute		2017	2017	2017-01-01	2018	now	2019-12-31	3	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			3	Central Plains Experimental Range, Nunn, Colorado	Closed	Eddy Covariance	AmeriFlux	avg temp	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
CPER570	570	CPER	Ecosystem Flux	Eddy co-variance	realtive humidity	percent	30 minute		2017	2017	2017-01-01	2018	now	2019-12-31	3	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			3	Central Plains Experimental Range, Nunn, Colorado	Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
CPER571	571	CPER	Ecosystem Flux	Eddy co-variance	Precipitation	mm	10 hertz	0.1 second	2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			3	Central Plains Experimental Range, Nunn, Colorado	Closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
CPER572	572	CPER	Vegetation	Greenhouse gas emission	Open Top Chamber Experiment Carbon Dioxide (CO2) Elevation Experiment at the Central Plains Experimental Range, Nunn, Colorado, USA		annual	1 year	1997	1997	1997-01-01	2001	2001	2001-12-31	5	Justin Derner, Jack Morgan	ASCII file in institutional repository	http://hdl.handle.net/10217/82454	open	1	Central Plains Experimental Range, Nunn, Colorado	open	Greenhouse Gas Emissions	MeasGHGFlux	Carbon dioxide, air, daily, mean or single measurement					Physical and Chemical Sciences	climatologyMeteorologyAtmosphere	no
CPER573	573	CPER	Ecohydrology	Automated Precipitation network	Precipitation	mm	30 minute		2017	2017	2017-01-01	2018	now	2019-12-31	3	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER574	574	CPER	Ecohydrology	Automated NDVI network	greenness index	area			2017	2017	2017-01-01	2018	now	2019-12-31	3	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			3	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER575	575	CPER	Ecohydrology	Automated soil moisture network	Soil moisture (volumetric water content – VWC) is measured at several depths (10 cm)				2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER576	576	CPER	Ecohydrology	Automated soil moisture network	Soil moisture (volumetric water content – VWC) is measured at several depths (20 cm)				2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER577	577	CPER	Ecohydrology	Automated soil moisture network	Soil moisture (volumetric water content – VWC) is measured at several depths (30 cm)				2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
