ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
GACP792	792	GACP	Eddy flux	LE_wpl		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP793	793	GACP	Eddy flux	Hc		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP794	794	GACP	Eddy flux	CO2_stdev		mg/m^3	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP795	795	GACP	Eddy flux	CO2_Ux_cov		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP796	796	GACP	Eddy flux	CO2_Uy_cov		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP797	797	GACP	Eddy flux	CO2_Uz_cov		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP798	798	GACP	Eddy flux	H2O_Ux_cov		g/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP799	799	GACP	Eddy flux	H2O_Uy_cov		g/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP800	800	GACP	Eddy flux	H2O_Uz_cov		g/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP801	801	GACP	Eddy flux	Tc_stdev		C	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP802	802	GACP	Eddy flux	Tc_Ux_cov		C m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP803	803	GACP	Eddy flux	Tc_Uy_cov		C m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP804	804	GACP	Eddy flux	Tc_Uz_cov		C m/s	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP805	805	GACP	Eddy flux	CO2_mean		mg/m^3	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP806	806	GACP	Eddy flux	H2O_mean		g/m^3	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP807	807	GACP	Eddy flux	amb_tmpr_Avg		C	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP808	808	GACP	Eddy flux	amb_press_mean		kPa	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP809	809	GACP	Eddy flux	Tc_mean		C	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP810	810	GACP	Eddy flux	rho_a_mean		kg/m^3	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP811	811	GACP	Eddy flux	Fc_irga		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP812	812	GACP	Eddy flux	LE_irga		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP813	813	GACP	Eddy flux	CO2_wpl_LE		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP814	814	GACP	Eddy flux	CO2_wpl_H		mg/(m^2 s)	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP815	815	GACP	Eddy flux	H2O_wpl_LE		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP816	816	GACP	Eddy flux	H2O_wpl_H		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP817	817	GACP	Eddy flux	irga_samples_Tot		samples	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP818	818	GACP	Eddy flux	diag_irga_aggregate		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
