ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
UMRB6010	6010	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	NETRAD	Net radiation	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6011	6011	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	RH	Relative humidity	%	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6012	6012	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	P	Precipitation	mm	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6013	6013	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	VPD	Vapor pressure deficit	hpa	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6014	6014	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	WS	Wind speed	m/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	Wind speed, air, daily, mean	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6015	6015	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SW_IN	Shortwave radiation, incoming	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	ave_incoming_shortwave radiation	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6016	6016	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SW_OUT	Shortwave radiation, outgoing	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	ave_outgoing_shortwave radiation	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6017	6017	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LW_IN	Longwave radiation, incoming	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	ave_incoming_longwave radiation	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6018	6018	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	LW_OUT	Longwave radiation, outgoing	W/m^2	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	ave_outgoing_longwave radiation	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6019	6019	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	WD	Wind direction	decimal degrees	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	Wind direction air, daily, mean	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
