ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CMRB498	498	CMRB	Soils	Soil volumetric water content		decimal fraction	2 minutes	2 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch	Local				ASP, BAU, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB499	499	CMRB	Soils	Soil oxygen content		%	2 minutes	2 minute	2016	2016	2016-01-01	Present	now	2019-12-31	4	Lerch	Local				ASP, BAU		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	oxygen	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB500	500	CMRB	Soils	Active C		mg C/kg	Every 5 years	5 year	2008	2008	2008-01-01	Present	now	2019-12-31	12	Veum	Local				Centralia plots, ASP, BAU, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Mineral associated carbon, soil, mean or single measurement	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB501	501	CMRB	Soils	Al		meq/100g	TBD  (> 10 years)		1999	1999	1999-01-01	Present	now	2019-12-31	21	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Aluminum, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB502	502	CMRB	Soils	pH		meq/100g	Every 5 years	5 year	1999	1999	1999-01-01	Present	now	2019-12-31	21	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil pH	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB503	503	CMRB	Soils	Acidity		meq/100g	TBD  (> 10 years)		1999	1999	1999-01-01	Present	now	2019-12-31	21	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil pH	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB504	504	CMRB	Soils	Total N		mg/ha	Every 5 years	5 year	2008, 2010, 2016	2008, 2010, 2016	1999-01-01	Present	now	2019-12-31	21	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Total soil nitrogen, soil, mean or single measurement	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB505	505	CMRB	Soils	Total organic C		mg/ha	Every 5 years	5 year	2008, 2010, 2016	2008, 2010, 2016	1999-01-01	Present	now	2019-12-31	21	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Total soil carbon, soil, mean or single measurement	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB506	506	CMRB	Soils	ammonium-N		kg/ha	Every 5 years	5 year	2016	2016		Present	now	2019-12-31	120	Lerch	Local				ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Ammonium nitrogen, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB507	507	CMRB	Soils	Salt pH		pH	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil pH	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB508	508	CMRB	Soils	Organic matter		g/kg	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Particulate organic matter, soil, mean or single measurement	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
		CMRB	Soils	Nutrient Availability		meq/100g	Every 3 years	3 year	1995-2010			Present	now			Kitchen, Sudduth, Conway					Centralia plots, ASP, BAU, TP, SPARC											
CMRB509	509	CMRB	Soils	P		mg/kg	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Phosphorus, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB510	510	CMRB	Soils	Ca		mg/kg	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Calcium, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB511	511	CMRB	Soils	Mg		mg/kg	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Magnesium, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB512	512	CMRB	Soils	K		mg/kg	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Potassium, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB513	513	CMRB	Soils	CEC		molc/kg	Every 3 years	3 year	1995-2010			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Total soil carbon, soil, mean or single measurement	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB514	514	CMRB	Soils	Texture		% of <2 mm	TBD  (> 10 years)		1999-2009			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Micro or Macroaggregation	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB515	515	CMRB	Soils	Bulk density		g/cm3	Every 10-15 years		1999-2009			Present	now	2019-12-31	120	Kitchen, Sudduth, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Bulk density, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
		CMRB	Soils	Enzyme Suite		mg PNP/kg/hr	Every 5 years		2016-2017			Present	now			Veum	Local				Centralia plots, ASP, BAU, TP											
		CMRB	Soils	ACE Protein		mg/g	Every 5 years		2016			Present	now			Veum	Local				Centralia plots, ASP, BAU, TP											
		CMRB	Soils	Lab Soil Respiration (4d)		mg CO2/g	Every 5 years		2016			Present	now			Veum	Local				Centralia plots, ASP, BAU, TP											
		CMRB	Soils	Aggregate Stability (1-2 mm)		%	Every 5 years		2016			Present	now			Veum	Local				Centralia plots, ASP, BAU, TP											
		CMRB	Soils	Rapid Particle Size		%	Every 5 years		2016			Present	now			Veum	Local				Centralia plots, ASP, BAU, TP											
		CMRB	Soils	Active C (POXC)		g/kg	Every 5 years		2008, 2016			Present	now			Veum	Local				Centralia plots, ASP, BAU, TP											
CMRB516	516	CMRB	Soils	PLFA - Total Biomarkers		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB518	518	CMRB	Soils	PLFA - Gram + Bacteria		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB519	519	CMRB	Soils	PLFA - Gram - Bacteria		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB520	520	CMRB	Soils	PLFA - Arb. Mycorrrhizal Fungi		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB521	521	CMRB	Soils	PLFA - Saprophytic Fungi		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB522	522	CMRB	Soils	PLFA - Protozoa		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB523	523	CMRB	Soils	PLFA - Actinobacteria		nmol/g	Every 5 years	5 years	2016-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	PLFA	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB524	524	CMRB	Soils	PLFA - Fungi/Bacteria Ratio		unitless	Every 5 years	5 years	2008-2016			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	B-glucosidase	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB525	525	CMRB	Soils	PLFA - G+/G- Ratio		unitless	Every 5 years	5 years	2008-2017			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Total soil nitrogen, soil, mean or single measurement	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB526	526	CMRB	Soils	PLFA - Stress Ratio		unitless	Every 5 years	5 years	2008-2018			Present	now	2019-12-31	120	Veum	Local				Centralia plots, ASP, BAU, TP		Soil	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	Microbial biomass carbon, soil	Soil				Natural Resources, Earth and Environmental Sciences	geoscientificInformation	
CMRB529	529	CMRB	Plant	Aboveground net primary production		Mg/ha	1-3x year	1 year	2016-2018	2016-2018	2016-01-01	Present	now	2019-12-31	4	Kitchen, Conway	Local				Centralia plots, ASP, BAU, TP, SPARC		Vegetation	MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction	Biomass, aboveground live, plant tissue, mean or single measurement	Vegetation				Natural Resources, Earth and Environmental Sciences	biota	
CMRB528	528	CMRB	Plant	Canopy reflectance			Annually	1 year	2004-2018	2004-2018	2016-01-02	Present	now	2019-12-31	4	Sudduth	Local				Centralia plots, ASP, BAU, TP, SPARC		Vegetation	MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction	Ground cover, vegetated, none, mean or single measurement, fraction of land area	Vegetation				Natural Resources, Earth and Environmental Sciences	biota	
