LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
LMRB	METEOROLOGY 	Solar Radiation (avg)		Watt	"hourly, average"	36188	Present	NRCS-SCAN				GCEW / BLW	
LMRB	METEOROLOGY 	Infrared Solar		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	Direct Solar		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	Diffuse Solar		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	Global Solar		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	UVB		mW/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	PAR		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	Aerosol optical depth		dimensionless	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	Upwelling solar		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY 	Upwelling infrared		W/m2	3 min averages	39909	Present	NOAA-SURFRAD				GCEW / BLW	
LMRB	METEOROLOGY (Eddy covariance)	CO2 concentration		µmol/mol	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	CO2 density		mmol/m3	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	CO2 flux		µmol/m2/s	30 minute								
LMRB	METEOROLOGY (Eddy covariance)				30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Water vapor flux		mmol/m2/s	30 minute								
LMRB	METEOROLOGY (Eddy covariance)				30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Sensible heat flux		W/m2	30 minute								
LMRB	METEOROLOGY (Eddy covariance)				30 minute								
